uai;nom_etablissement;lattitude;ips;total_eleves_hors_segpa_ulis;total_eleves_segpa;total_eleves_ulis;pourcentage_filles
0921675W;Collège Marguerite Duras;48.91770976091729;86.0;484;53;11;45.94003007439950881500
0593242D;Collège Gustave Nadaud;50.70884740732559;78.3;534;52;14;49.54984397937801145800
0331419N;Collège Georges Rayet;44.842138625193755;107.4;610;0;10;52.10156604892787521600
0501525L;Collège la Chaussonnière;48.67889134000722;99.7;290;37;11;52.21549363125582243600
0331895F;Collège Montaigne;44.87379527053053;82.7;454;0;15;48.90572638086359627900
0541288G;Collège Vauban;49.520430343173885;83.4;408;0;10;46.52099850656997128500
0951356H;Collège Lucie Aubrac;48.95228380883669;81.2;648;0;11;47.27609968990344659900
0541515D;Collège Simone de Beauvoir;48.65174692130823;86.5;432;60;0;46.74687763139367390400
0930897V;Collège Paul Painlevé;48.94021045953347;76.8;610;0;14;49.55987368136669286300
0280918W;Collège Anatole France;48.081228983306346;76.0;254;96;0;49.97856751837881736000
0350969N;Collège Bellevue;47.655874021168884;93.4;440;64;0;51.87028407480419071500
0622947S;Collège George Sand;50.529725801612535;95.8;608;60;0;51.47519430806135827700
0061129V;Collège Jules Romains;43.67792616163958;69.9;423;0;12;49.50889921742207279200
0930593P;Collège Saint-Exupéry;48.86304004094429;102.8;713;54;0;48.48835533116597071000
0941603G;Collège Janusz Korczak;48.74247684439589;92.9;533;57;12;46.45150046731471993000
0594879H;Collège Joliot Curie;50.01822260004242;81.2;315;0;0;50.98749082434020919200
9710025A;Collège Fernand Balin;16.476076319044715;93.9;199;0;0;53.32057701529793982200
0530790W;Collège Jacques Monod;48.06578512638096;102.5;459;0;21;52.12867955198731018900
0931225B;Collège Joliot Curie;48.9565325903814;77.0;579;0;14;48.67453521520734174600
0700045U;Collège Albert Jacquard;47.68652859366494;98.8;812;58;12;50.83764388784158071500
0511214T;Collège trois Fontaines;49.27653803620592;82.8;344;61;11;47.40371299308372027300
0332189A;Collège Nelson Mandela;44.8388487614692;92.9;465;0;0;47.34427016578579792500
0260850H;Collège Etienne-Jean Lapassat;45.0427292309842;93.4;627;60;13;50.65008288304184378300
0180593X;Collège Victor Hugo;47.11022608113902;83.7;545;56;12;47.39095597520389811100
0711136Z;Collège Roger Semet;46.473825448449496;93.2;425;0;6;48.12877538523035699500
0750546L;Collège Georges Clemenceau;48.88906742624847;80.0;344;0;0;51.16253484311410052400
0640227Z;Collège Jeanne d'Albret;43.301610194236474;96.4;705;69;11;50.03147836594248037500
0931204D;Collège Marcel Cachin;48.924156474276174;72.5;710;0;13;48.21461435160134441700
0951094Y;Collège Paul Vaillant-Couturier;48.94340927016017;88.9;678;0;17;48.99022868487929709900
0692343X;Collège Elsa Triolet;45.697470444725326;67.3;554;64;13;47.41553720280943170400
9730192W;Collège Léo Othily;5.671095321792683;71.6;573;50;21;47.12928402075273135400
