uai;nom_etablissement;lattitude;ips;total_eleves_hors_segpa_ulis;total_eleves_segpa;total_eleves_ulis;pourcentage_filles
0572579U;Collège Jules Ferry;49.148211697080846;64.7;385;0;0;45.78901211968506435900
9730182K;Collège La Canopée (Matoury I);4.842455625029976;84.3;933;0;17;51.38795519960426861400
0951945Y;Collège Victor Hugo;48.997227791444985;77.5;454;0;11;49.50432432379126401800
0020076X;Collège Jean Moulin;49.83805624837902;79.9;299;0;0;50.10213761623725467200
0890030Z;Collège Stéphane Mallarmé;48.19906776944226;91.9;496;0;12;43.70394649179543983100
0382114S;Collège Stendhal;45.18938299512211;119.1;599;0;14;46.31062967587515340700
0931206F;Collège Jean Vilar;48.95284036866517;72.7;536;0;14;52.95599835634610086100
0110037F;Collège Alain;43.21095190634443;90.6;428;0;0;49.47739108799198169300
0760026R;Collège Claude Delvincourt;49.90711525621756;82.3;311;48;10;47.67818032162681411400
0622581U;Collège Gérard Philipe;50.42149494047896;83.0;472;0;0;48.80747158950017067000
0390907Z;Collège Saint-Exupéry;46.67961909845252;95.2;466;121;19;48.39408913605190125300
0931216S;Collège Jean Jaurès;48.91537682445213;73.6;515;0;0;48.56416662112776322300
0931212M;Collège Lenain de Tillemont;48.85948704920163;77.6;366;56;14;48.97330877947377294500
6200006M;Collège Arthur Giovoni;41.94145744400021;80.1;626;83;24;47.51746962693210941700
0840051Z;Collège Jean Brunet;43.94704392595827;82.3;415;0;0;50.60827543056924082100
0940749D;Collège Roland Garros;48.75162969308217;75.2;543;0;13;51.47122476553531026900
0190635M;Collège Jean Moulin;45.156267323881245;72.7;338;59;12;48.88868357024873860100
0441616T;Collège Julien Lambot;47.301458222086715;88.0;475;60;12;51.02092181330205494800
0680009R;Collège Pfeffel;48.08391701780884;74.8;492;0;17;47.44234151936465449900
0780255D;Collège Albert Thierry;48.99785974657149;84.2;600;0;0;50.34502187900454832800
0641561Z;Collège Pierre Bourdieu;43.36858824859739;83.5;291;58;12;49.13236908716285997200
0590157A;Collège Saint-Exupéry;50.38314537455736;81.8;470;0;0;48.15768649770433019500
0594295Y;Collège du Westhoek;51.02609343403172;81.6;129;0;14;46.07101948519954878800
0950026M;Collège Maximilien de Robespierre;49.03287768745648;80.5;582;80;13;51.80028018749832040800
0550020Y;Collège Alfred Kastler;49.48640760051944;87.3;377;43;12;49.51755662687167732400
0840033E;Collège Voltaire;44.00987908595682;86.7;372;0;13;49.03820804004330801900
0921160L;Collège Jean-Baptiste Clément;48.93189999560393;87.2;769;0;0;48.71455337438349023500
9740577J;Collège Joseph Hubert;-21.374752131696336;74.4;842;128;12;46.99735221579307172300
0260029R;Collège Fernand Berthon;45.29177149390455;82.7;457;0;0;50.74682976331117607400
9711181G;Collège Bois Rada;16.280690780790454;93.9;444;0;0;46.85225649444728820200
0601179F;Collège Marcelin Berthelot;49.28139973437501;88.4;708;0;12;48.21883140156032955000
0360496U;Collège Beaulieu;46.804550699833506;98.6;459;0;8;50.00374658625696908900
0450055R;Collège Etienne Dolet;47.883916757288006;85.5;462;52;11;50.81014277184239136300
0080910W;Collège Turenne;49.6992311347161;83.7;347;0;0;49.59855150927892940500
0230507B;Collège Jean Picart le Doux;45.95327215447841;95.8;228;48;0;50.28837733683350392200
0080105W;Collège Jules Ferry;49.853948041026854;78.7;188;0;10;48.00997389019479950700
0754706H;Collège Marie Curie;48.893240051158365;103.1;392;0;12;48.90528443318304924900
0840007B;Collège Joseph Roumanille;43.93454148011538;76.9;618;0;0;46.75498664761846934700
9730193X;Collège Gran Man Difou;3.64403238602736;72.0;554;17;16;48.44204080457987747100
0950934Z;Collège Georges Brassens;49.15452977206743;87.4;679;46;0;49.97923277727005673200
0381903M;Collège Jean Vilar;45.156022648146184;72.7;348;59;13;52.41597405301929160900
0590088A;Collège Jules Verne;51.020127902647296;75.6;364;0;0;51.06685705831460661500
0341592W;Collège Marcel Pagnol;43.59644765313416;82.8;506;57;13;46.05953678912923630100
0450936Y;Collège Jean Rostand;47.92103480258824;82.2;511;30;12;49.35382750744338248600
0890980G;Collège Abel Minard;47.86295144362163;91.5;404;89;13;51.82458530889379342500
0941042X;Collège Dorval;48.743915400557626;90.9;536;0;14;50.45361930268798569300
0771420A;Collège Beaumarchais;48.94874387341907;75.3;517;49;13;49.37603346252141953700
0511085C;Collège Robert Schuman;49.25303543854247;87.6;567;0;12;49.62262356812594902200
0010035H;Collège Louis Lumière;46.25485364646008;78.1;572;0;13;49.55048569760950273700
0622268D;Collège Jean Moulin;50.4579458797513;84.3;508;44;0;53.25023524971150159000
0951696C;Collège Georges Duhamel;48.999642313112716;118.3;483;0;20;49.42531587745756647500
0921179G;Collège Léonard de Vinci;48.764434998862676;102.3;284;0;12;45.82769936460281594800
0931710D;Collège Olympe de Gouges;48.88819132477325;86.3;547;0;0;50.76239488984551157600
0950045H;Collège Evariste Galois;48.97514785060492;75.1;559;57;12;49.56154162380039114800
0590190L;Collège Jean-Baptiste Lebas;50.68101814010843;64.6;476;0;8;51.17599432109672092300
0840664R;Collège Jules Verne;43.959249941349086;74.4;656;59;15;50.07531261515961198000
0921543C;Collège Georges Pompidou;48.94119514765646;86.0;586;34;8;48.59137427711051492800
0460528Z;Collège Olivier de Magny;44.46354320618618;108.6;560;63;10;46.78394674902464358400
0080036W;Collège Jean Rogissart;49.817827897579626;84.1;321;45;0;49.59238861813493515600
0911255V;Collège Albert Camus;48.58012827715857;116.7;543;60;11;46.11741300773218567200
0594299C;Collège Turgot;50.33072586542027;67.3;428;0;0;50.34954088546829769700
9730306V;Collège Omeba Tobo (Kourou III);5.173465451024606;83.7;551;0;24;51.83736946090268882800
0753046D;Collège Flora Tristan;48.858743391511226;102.7;503;0;0;51.19407676999243100200
0132491M;Collège Alexandre Dumas;43.31616344291976;74.2;520;125;14;45.79747119708227483600
0340118U;Collège Henri IV;43.34343324346055;70.9;508;0;0;51.93602052900275939500
0491764B;Collège Claude Debussy;47.48939062753007;92.9;358;58;12;47.57033073009849934900
0870071E;Collège Pierre Donzelot;45.8326110104398;111.0;737;0;0;46.56898549994128823300
9760162X;Collège de Kawéni;-12.769912365713084;66.8;1200;0;7;51.03081209215033136800
0911036G;Collège Jean Vilar;48.650900338036756;74.0;524;64;13;49.77090386094957403300
0601471Y;Collège Jean Fernel;49.38437183612887;106.8;687;0;22;51.88639613818326427800
0800018K;Collège Edouard Lucas;49.89906876441213;91.8;576;65;27;44.47572412258896045100
0550024C;Collège Buvignier;49.162732311065156;86.8;412;0;24;48.41343112378993385300
0910021D;Collège Le Village;48.63042860914635;93.8;620;65;0;48.06787274372976740500
0132217P;Collège Mont-Sauvy;43.7960920994055;91.6;565;53;0;49.41040314710437530900
0061001F;Collège Louis Nucera;43.72361668686263;66.4;588;62;13;50.13352750610087240600
9710073C;Collège Sadi Carnot;16.238600422109922;89.6;378;0;10;45.99803321042367775700
9760167C;Collège de M'Tsangamouji;-12.757720247778675;90.2;1128;61;15;50.32067010529748894000
0595168X;Collège Maxence Van Der Meersch;50.681280837629195;68.4;518;0;0;50.31578554562403928600
0610003X;Collège Jean Racine;48.42312140936205;103.9;460;43;14;52.76829618662624088800
0131757P;Collège L'Estaque;43.36302953235596;99.6;590;0;13;49.50627374522017814300
0133788X;Collège Jean-Claude Izzo;43.30735309691616;78.8;493;0;13;51.14428651260971130200
0500068C;Collège Saint-Exupéry;49.41031945923135;85.5;199;48;0;48.43736454161010496700
0941034N;Collège Joseph Lakanal;48.793714454965944;84.0;454;0;0;50.47406953740425536300
0291089B;Collège La Fontaine Margot;48.3837528328042;88.9;290;64;0;50.86035062165117387800
0931209J;Collège Georges Politzer;48.86218508338225;77.0;367;0;0;45.59397895019174236600
0490022H;Collège Georges Clemenceau;47.05463607594209;86.0;424;0;12;52.23216072031848780400
9760119A;Collège de Chiconi;-12.832907262109957;77.4;905;0;8;49.46597951440556907600
0931218U;Collège Jean Lolive;48.90084996908324;82.9;527;0;11;50.08418578286491313900
0940071S;Collège Liberté;48.77092537382796;103.8;475;0;13;47.42356208441085567600
9710072B;Collège Jules Michelet;16.237373451975248;80.1;262;0;0;46.30824315082246571500
0330163Y;Collège Élie Faure;44.84251417619523;87.9;471;41;15;47.27811051619680570400
0941039U;Collège Guy Môquet;48.793393102725126;86.8;412;0;14;45.09256909786300964700
0670004R;Collège le Ried;48.61889807818501;82.8;626;52;27;48.61098552180208829200
0592634T;Collège Antoine de Saint-Exupéry;50.24532696812899;78.3;546;0;0;47.18663588184722161200
0132412B;Collège Lou Garlaban;43.28048330734522;93.3;642;96;14;50.14453800937292718200
0790945Y;Collège Georges Clemenceau;46.82048437622817;86.8;281;62;14;46.23813841633144140700
0310086A;Collège George Sand;43.58810548390916;71.9;427;0;16;49.16540278820590113200
0410952M;Collège François Rabelais;47.59447793664912;66.9;350;0;12;51.94953162289564935700
0932038K;Collège Françoise Dolto;48.95929737802488;91.3;561;0;0;51.11435249086562068100
0950943J;Collège Chantereine;48.984492151035965;71.7;407;45;12;47.64447307876136924100
0670105A;Collège Lezay Marnésia;48.548950183178;70.3;543;36;10;49.26251646536414648600
0360541T;Collège Rosa Parks;46.80038435949145;69.2;333;61;0;51.31062243294326886000
0210025N;Collège Henri Dunant;47.303547365518966;93.8;316;0;11;48.63775891906309110000
0622423X;Collège Youri Gagarine;50.4310641266138;76.1;351;0;0;52.60325786835925408900
0930894S;Collège Honoré de Balzac;48.86069204167578;90.2;728;63;14;47.08207568429308149000
9740083X;Collège Amiral Pierre Bouvet;-21.04490310971959;71.5;485;0;12;49.16773164953685494200
0592830F;Collège Jean Zay;50.60722395909997;85.1;362;0;0;55.72252162829213377900
0610057F;Collège Jean Monnet;48.74029575145305;82.1;331;55;8;48.31374121464926204400
0301282F;Collège Elsa Triolet;43.8104670615702;87.2;474;57;12;46.79213217435091527500
0360543V;Collège Colbert;46.82470175120251;95.7;335;0;0;53.84206647130524300000
0595782P;Collège du Moulin;51.01131527401728;74.2;324;0;15;49.76533478947046647200
0911570M;Collège Sédar Senghor;48.61869569765931;73.9;449;64;0;49.44761414577231621800
0560215E;Collège Jean Lurçat;47.76309345387246;98.1;304;48;0;49.00242093130932140500
0750429J;Collège Roland Dorgelès;48.888241659335435;125.0;424;0;11;46.69903985396695857300
0510011K;Collège Perrot d'Ablancourt;48.95009801777346;95.6;593;0;11;51.96514461598460574000
0390924T;Collège Pré Saint-Sauveur;46.3794007022961;85.8;429;35;17;52.62199049015646403100
9730329V;Collège Paul Jean Louis;5.481067756110026;65.2;1029;101;19;49.25911972372179672000
0881097P;Collège Louis Armand;48.18499326867896;102.9;673;0;12;50.20452415742928047700
0440309X;Collège Rosa Parks;47.23090401945198;76.2;316;0;0;50.35229525487667683100
0941044Z;Collège Robert Desnos;48.74701182417946;82.3;545;0;0;47.46054778049398542900
0597004T;Collège Miriam Makeba;50.61837243885932;77.9;461;0;0;55.17058505567957900900
0592830F;Collège Jean Zay;50.60722395909997;85.1;349;0;0;55.72252162829213377900
0190635M;Collège Jean Moulin;45.156267323881245;72.7;351;61;12;48.88868357024873860100
9730348R;Collège Leodate Volmar;5.4883689227103805;64.1;880;0;33;48.53442995379698660400
0595190W;Collège Gayant;50.40191279499383;73.9;230;28;0;41.87715011709457295300
0080910W;Collège Turenne;49.6992311347161;83.7;393;0;0;49.59855150927892940500
0590157A;Collège Saint-Exupéry;50.38314537455736;81.8;466;0;0;48.15768649770433019500
0931219V;Collège Jean-Jacques Rousseau;48.883505211122696;94.9;563;0;0;49.34121457460756463300
0931232J;Collège Henri Barbusse;48.940187798731856;87.5;471;54;7;45.18269971440914353900
0791002K;Collège Jean Rostand;46.97457270480655;89.4;351;113;13;48.10602806053098946600
0921778H;Collège Joliot-Curie;48.80199575748685;88.3;367;0;0;48.04773443249776916000
0020024R;Collège Anne de Montmorency;49.198904893242904;92.9;483;30;13;45.89705385749785310000
0783463R;Collège Louis Paulhan;48.947950144870155;86.8;531;0;12;49.32139540810141172000
0681757R;Collège Anne Frank;47.76341036026922;76.6;334;0;10;52.09094539213168428200
0622424Y;Collège Langevin-Wallon;50.45108347226466;76.1;393;58;0;48.18921830592599603800
0572023P;Collège Georges Holderith;49.12208233715545;78.1;597;27;0;51.52758444335126962900
0840698C;Collège Alphonse Silve;44.037724494666;97.0;731;0;5;49.78837925794974221200
0371391L;Collège Stalingrad;47.390112723691864;98.5;390;0;0;47.26261778600736508300
0131605Z;Collège Henri Barnier;43.3649273775508;59.0;587;55;16;48.21744347350764291100
0301327E;Collège Gérard Philipe;44.16182839770934;97.5;560;0;24;53.94082273916289215300
0501205N;Collège les Provinces;49.62796998464379;80.5;288;55;0;52.03412720032269833600
9760379H;Collège de Boueni;-12.923897407828887;100.1;638;96;13;50.18212794693988807200
0132491M;Collège Alexandre Dumas;43.31616344291976;74.2;508;117;11;45.79747119708227483600
0931220W;Collège Travail Langevin;48.875169763521896;83.2;495;0;0;48.13813366184666320100
0540111C;Collège Jacques Callot;48.66599311776567;85.8;494;0;12;47.51742790264828944500
0131935H;Collège Edgar Quinet;43.30694525124522;64.2;563;0;0;48.84862671459924954700
0931149U;Collège Pierre Ronsard;48.95871198079778;92.6;806;0;14;48.26836673372795821100
0911402E;Collège de Guinette;48.43646603760289;83.9;656;56;14;47.31118430791511944700
0131884C;Collège Belle de Mai;43.31338122145661;72.8;585;0;0;48.83717118694632703000
0941032L;Collège Danielle Casanova;48.791453966746296;85.3;418;0;0;48.32137344978211941300
0311319R;Collège Louisa Paulin;43.470537081314674;92.0;761;74;0;49.44379615221180511700
0910971L;Collège Les Sablons;48.66873268234934;86.4;614;56;12;48.86501189581904097100
0541578X;Collège des Trois Frontières;49.527375055269054;83.2;437;0;0;50.82691965385623151800
0271104D;Collège Henri Dunant;49.029706084232835;88.0;439;0;12;50.69084236517115528900
0761780X;Collège Georges Braque;49.44725667477171;76.1;420;0;13;51.80154763114059979200
0692336P;Collège Henri Barbusse;45.78584196475057;77.4;578;55;13;48.72104749918480005600
0780569V;Collège La Vaucouleurs;48.96377742593445;99.3;595;55;11;46.83846860531105114700
0771518G;Collège Louis Armand;48.60087772924634;84.0;687;0;8;50.66937003559299054900
0931489N;Collège Federico Garcia Lorca;48.92439473650673;76.4;461;43;5;49.21324572938580555200
0300062E;Collège Capouchiné;43.8224816363969;78.9;530;0;22;49.15710591091293095700
9740811N;Collège Terre Sainte;-21.346637433006148;80.6;570;59;24;47.56801840034800885500
0133196D;Collège Simone de Beauvoir;43.42794993215359;114.7;622;0;14;50.18137347671130816100
0301208A;Collège Eugène Vigne;43.81046622018786;83.3;550;0;23;47.15557104363056052800
0931224A;Collège Pablo Neruda;48.968619682081524;80.2;662;0;0;52.50018050270102469900
0594362W;Collège Vauban;50.274459245680944;63.6;486;26;12;49.45411877165185192500
0590046E;Collège Jean Monnet;50.126760222561636;81.2;691;0;0;49.98924239776723926600
0211162Z;Collège Gaston Bachelard;47.315243324547;101.1;237;59;15;44.94015754073585258000
0611156A;Collège Françoise Dolto;48.763209153808724;91.1;406;0;11;50.93093628651651811600
0622943M;Collège Adulphe Delegorgue;50.41517287550865;81.6;432;56;14;52.36648649423569063600
0240043S;Collège Les Marches de l'Occitanie;45.625030532652026;96.2;165;0;0;49.54474297147005765300
0950749Y;Collège Saint-Exupéry;49.001690714763306;72.8;543;0;11;47.73787839968309485400
0340972X;Collège Victor Hugo;43.408444951305825;87.2;407;0;10;47.48665626447814726600
0570104D;Collège Nicolas Untersteller;49.19226476766512;68.3;457;0;22;48.28907510280664608200
0100905E;Collège le Noyer Marchand;48.518326931336844;86.0;495;63;9;48.47225451312645174000
0180037T;Collège Edouard Vaillant;47.22901276343106;75.4;493;0;12;46.50253027577735126000
0931194T;Collège République;48.90679137877798;79.2;775;63;13;47.95275614980540377000
9760308F;Collège de Passamaïnty;-12.798448897785606;74.0;1746;0;30;49.73103626881172068100
0596833G;Collège Nina Simone;50.624217470059136;81.4;486;0;13;47.76005299307453007700
0450055R;Collège Etienne Dolet;47.883916757288006;85.5;498;50;11;50.81014277184239136300
0922630J;Collège Louis Blériot;48.90047611059286;126.9;663;0;11;43.24424471229916565900
0311325X;Collège Voltaire;43.60806506153154;87.5;335;63;0;51.11638515438251634100
0750552T;Collège Françoise Dolto;48.873957115380314;116.5;459;0;11;50.00752129136485564700
0951138W;Collège Jean-Jacques Rousseau;48.936611594468815;86.2;618;0;20;46.26988921617983949800
0910776Z;Collège Paul Eluard;48.70324809450867;85.6;741;0;11;49.93005508031625085800
0260117L;Collège Paul Valéry;44.92851161366953;84.9;446;0;0;49.46501718185728945700
0311232W;Collège Claude Nougaro;43.62013833882529;102.1;319;0;0;52.40855934208744712200
0595328W;Collège Simone de Beauvoir;50.62942944171095;80.1;525;48;0;51.10336712247573989100
9740080U;Collège Bourbon;-20.885100424269222;71.3;768;0;11;51.75462212800802083800
9720842H;Collège de Morne des Esses;14.74474961849002;87.8;189;0;0;46.48165152392867185700
0840762X;Collège Barbara Hendricks;44.14299591349081;82.4;534;0;15;46.86041339961491625800
0790945Y;Collège Georges Clemenceau;46.82048437622817;86.8;298;60;14;46.23813841633144140700
6200040Z;Collège Léon Boujot;41.59000247913734;96.7;629;0;0;46.76044036591992408800
9720472F;Collège Aimé Césaire - Basse Pointe;14.867990418391756;79.6;192;22;0;47.59566618301510729000
0620158K;Collège Paul Langevin;50.40516019431543;82.8;535;0;0;50.94438159076976573100
0370764E;Collège Jules Ferry;47.37631569466951;93.8;346;0;0;51.29269964423800101700
9710072B;Collège Jules Michelet;16.237373451975248;80.1;210;0;9;46.30824315082246571500
9720028Y;Collège Eugène Mona;14.822176085558363;90.0;127;0;0;58.21490774614451288600
0941034N;Collège Joseph Lakanal;48.793714454965944;84.0;472;0;0;50.47406953740425536300
0080839U;Collège Pasteur;49.73617300991933;78.8;264;46;8;49.82595239425455717700
0594300D;Collège Bayard;50.3360867240659;69.4;299;39;13;47.11201788675795958000
0410768M;Collège Jean Emond;47.80471590386064;100.0;631;98;12;48.17277450744976332000
0450939B;Collège Alain-Fournier;47.832425345041756;74.6;536;0;13;46.62431806741771963400
9720016K;Collège Christiane Eda-Pierre;14.76829424199991;92.7;160;0;0;41.71323590909691157200
0331895F;Collège Montaigne;44.87379527053053;82.7;446;0;15;48.90572638086359627900
0931979W;Collège Georges Brassens;48.93900977985926;84.1;678;0;15;47.64395514932363722000
9741261C;Collège Terrain Fayard;-20.947674402028134;73.1;702;0;13;47.18989252461575724800
0622943M;Collège Adulphe Delegorgue;50.41517287550865;81.6;439;56;14;52.36648649423569063600
9730307W;Collège Concorde-Maurice Dumesnil;4.8351327253277105;78.1;902;172;34;50.44820649415172861500
0594644C;Collège Lavoisier;50.364495736345354;92.3;353;0;10;47.25393338857469614100
0260978X;Collège Marcel Pagnol;44.94406940183675;93.5;602;61;0;51.41704891018660058000
0595337F;Collège Jean Rostand;50.099125633511356;78.7;646;46;13;48.55046697101628810500
0594301E;Collège Paul Eluard;50.38544700442605;75.6;422;49;13;46.16129965259674259900
9741208V;Collège Elie Wiesel du Chaudron;-20.89304067605612;73.8;402;0;12;51.90850473275761366300
0780420H;Collège Blaise Pascal;48.82476505570136;92.1;543;48;0;50.99922877797277643700
0951403J;Collège La Bruyère;49.05897624594165;101.6;555;0;13;46.60033866231657911800
0890790A;Collège Champs Plaisants;48.19287771997059;86.1;771;71;10;49.58647844509908075700
0922630J;Collège Louis Blériot;48.90047611059286;126.9;576;0;8;43.24424471229916565900
0131931D;Collège Thiers;43.296854155506374;112.1;425;0;0;51.36473787427640800300
0760100W;Collège Boieldieu;49.458717608408655;75.6;205;0;12;54.14750903662572318800
0921631Y;Collège Henri Barbusse;48.79607461219818;91.0;470;0;0;49.30135165357922300400
0760050S;Collège Jules Vallès;49.511927377465774;81.2;455;0;0;49.46925427983226578100
0342132H;Collège Lucie Aubrac;43.35200862277546;81.3;565;59;11;47.82208229472520433300
0341066Z;Collège Jean Perrin;43.343281963730874;83.6;651;60;12;49.72035483194930007100
0132314V;Collège Jean Giono;43.3307269894162;87.3;626;0;26;46.25209293474380979000
0080079T;Collège Fred Scamaroni;49.76579473051388;83.2;220;49;0;48.98435384567759844800
0692159X;Collège Paul-Emile Victor;45.81684375838678;71.1;555;58;0;48.09273908645032827900
0951920W;Collège François Truffaut;49.00437744378741;78.0;461;0;9;51.17102629460678265700
0771029A;Collège Henri Dunant;48.945505414466616;77.9;688;0;0;43.83663667663352890300
0590088A;Collège Jules Verne;51.020127902647296;75.6;383;0;0;51.06685705831460661500
0594300D;Collège Bayard;50.3360867240659;69.4;305;38;11;47.11201788675795958000
0910021D;Collège Le Village;48.63042860914635;93.8;631;59;0;48.06787274372976740500
0340836Z;Collège Paul Riquet;43.34503046374759;67.7;571;64;11;49.65550840625850984700
0620021L;Collège Sévigné;50.50657276230646;75.9;371;62;12;49.51617850564939668700
0760017F;Collège le Cèdre;49.4432844634738;93.4;346;57;14;47.79607739744744254200
0421919H;Collège Massenet Fourneyron;45.39922504104214;76.9;453;62;0;48.58176373240019745200
0681961M;Collège Bel Air;47.72996303769056;85.0;515;0;23;49.29917451210734279300
0692337R;Collège Lamartine;45.75062425675254;74.5;527;0;12;47.71687320559274741900
0931184G;Collège Jean Moulin;48.907908690020946;78.9;601;58;0;46.72072994667073052500
0692157V;Collège Georges Brassens;45.76858335729128;86.9;557;59;11;43.76670443864017384100
0720906U;Collège Jean Cocteau;48.02775360167772;96.6;477;0;14;50.04413957887408173500
0810061B;Collège Jean Monnet;43.61020692795405;84.5;469;111;11;50.85011809744872499500
0940006W;Collège Albert Schweitzer;48.773795233572585;88.3;573;60;12;47.20479902217603894900
0595172B;Collège Eugène Thomas;50.24844416685529;112.8;907;38;0;44.86750124352072517500
0932582B;Collège Dora Maar;48.920954294742565;79.5;582;0;13;47.35477512818020164000
0300062E;Collège Capouchiné;43.8224816363969;78.9;544;0;22;49.15710591091293095700
0840114T;Collège François Raspail;44.0628844411088;88.1;646;101;16;47.26229250136588054000
0691793Z;Collège Jacques Duclos;45.75577238577945;77.5;433;0;9;49.92110332190732100300
0941783C;Collège Daniel Fery;48.75476701277979;103.7;579;0;16;48.01794157099267757300
0141268C;Collège Guillaume de Normandie;49.16098458295274;82.5;560;0;0;47.81729467041873970200
0691480J;Collège Honoré de Balzac;45.72612116694508;84.1;628;0;13;50.65047273986810726400
0740911N;Collège Geneviève Anthonioz de Gaulle;46.063982140500364;85.6;920;0;26;47.83481749265882626600
9760166B;Collège Ylang-Ylang de Kani-Kéli;-12.953235561488599;84.9;667;0;13;50.30322715019139200300
0830069Z;Collège Pierre Puget;43.12771430693768;80.3;781;47;21;47.24682215424221778200
0593254S;Collège Jules Verne;50.290125601829985;68.5;257;34;12;48.69966891876506301100
0220008P;Collège Victor Vasarely;48.297026707801464;85.8;204;0;0;52.05363584998398380900
0160884Z;Collège Marguerite de Valois;45.655571467534074;83.9;315;0;0;43.49174249552706525600
0470104H;Collège Germillac;44.392801187358835;87.6;447;62;11;48.83459351490650944700
9730374U;Collège Antoine Sylvère Felix;4.92306509984753;82.9;771;103;22;47.99670893539210455800
0341278E;Collège Arthur Rimbaud;43.61667697617024;69.4;762;60;15;49.00629581992837090800
0500083U;Collège le Dinandier;48.84097589041527;99.1;344;31;13;47.84364016392021816700
9740083X;Collège Amiral Pierre Bouvet;-21.04490310971959;71.5;478;0;13;49.16773164953685494200
0440055W;Collège Jean Rostand;47.24594665769826;123.6;618;0;0;52.07416561566296809200
0211225T;Collège Le Chapitre;47.29561204768497;71.0;213;77;12;45.78176421754156299600
0950039B;Collège Le Parc;49.04077077189662;89.2;490;0;0;50.22738181261167153700
0950943J;Collège Chantereine;48.984492151035965;71.7;418;52;13;47.64447307876136924100
0110068P;Collège Georges Brassens;43.18619491528589;88.6;517;0;0;49.38610808922202787400
0610056E;Collège Saint-Exupéry;48.436995205925115;93.1;350;0;13;43.41822000918672310000
0370041U;Collège Jules Michelet;47.38429543035467;96.0;402;0;0;48.57751957291785927900
0060021R;Collège Saint-Hilaire;43.656755635436774;89.2;421;0;0;50.66924374354496820600
0921242A;Collège Evariste Galois;48.78474200016353;123.3;696;51;6;46.91162109059311799300
9730192W;Collège Léo Othily;5.671095321792683;71.6;559;56;21;47.12928402075273135400
0061211J;Collège Pablo Picasso;43.57938575103072;84.3;717;51;25;49.12613869206050420200
0623018U;Collège Louis Pasteur;50.47531115423204;85.9;344;46;0;51.12890804158633618800
0941040V;Collège Emile Zola;48.768199454529935;82.5;471;0;0;53.20339118765312621400
0730901H;Collège Côte Rousse;45.59073765125101;78.6;501;0;0;54.87214736326829943700
0300055X;Collège Bernard de Ventadour;44.16255645283105;104.8;800;0;11;51.36175334014571391600
0132572A;Collège Ampère;43.67347246794884;85.5;658;0;9;47.35121411920131849500
0781108F;Collège René Cassin;48.97405583352472;84.1;250;36;0;50.37159369005894265300
0911490A;Collège Pablo Neruda;48.60016172381874;103.8;561;57;0;41.75001972301981619700
0450069F;Collège Max Jacob;47.91834539320126;89.3;397;0;36;47.89065201168353997400
0400014Y;Collège Félix Arnaudin;44.200614993648756;93.7;417;0;6;49.53899164880045719100
0931005M;Collège Pierre Curie;48.89208184374728;83.6;579;0;10;48.47614577786278151000
0752958H;Collège Boris Vian;48.89057669497499;93.8;476;0;12;50.28627905166254246600
0641561Z;Collège Pierre Bourdieu;43.36858824859739;83.5;311;50;12;49.13236908716285997200
0160864C;Collège Claude Boucher;45.69170031539395;83.6;350;63;0;46.05010691844965162400
0370764E;Collège Jules Ferry;47.37631569466951;93.8;353;0;0;51.29269964423800101700
0260029R;Collège Fernand Berthon;45.29177149390455;82.7;461;0;0;50.74682976331117607400
9740734E;Collège François Mahé de la Bourdonnais;-20.88777310526711;72.6;331;53;24;44.62268938867259801100
0920592U;Collège Moulin Joly;48.92818035945525;88.6;542;0;0;50.28512700741094355900
0381810L;Collège Gérard Philipe;45.1998522454648;84.4;384;62;14;50.61635715875039557200
0593177H;Collège Jean Zay;50.64774962781398;87.2;195;41;0;44.49573464693602811300
0070006U;Collège Le Laoul;44.37986944804914;87.9;493;49;14;48.36233533827210947300
0595175E;Collège Fénelon;50.1757149656532;100.0;496;0;11;49.95035786672670791700
0300141R;Collège Condorcet;43.827660839768605;67.7;562;87;13;47.82689674191827801300
0950045H;Collège Evariste Galois;48.97514785060492;75.1;531;59;12;49.56154162380039114800
0570069R;Collège Jules Lagneau;49.1200744448891;81.4;425;0;25;46.96865623225092008200
0520049W;Collège Anne Frank;48.64699426079609;71.6;340;68;11;49.60075043973564067800
0596529B;Collège intercommunal Maurice Schumann;50.375061829305764;89.6;511;0;13;49.16256351210292739400
9740651P;Collège Auguste Lacaussade;-21.033521949224678;76.5;452;53;10;44.68215603714103045800
9740595D;Collège Jules Reydellet;-20.883783915109806;76.7;513;0;12;48.12931947381527003400
9730337D;Ma Aiye - Collège d'Apatou;5.159839273121396;70.6;529;42;14;47.99830732505096708500
0331464M;Collège Jean Zay;44.854318986096345;91.1;681;0;14;49.89213074881563408900
0131265E;Collège Jean Moulin;43.642784212843395;77.9;477;0;0;46.38940356820170001100
0572180K;Collège Pierre Adt;49.17944235060765;73.4;448;51;25;48.32431504896530716500
0931148T;Collège Georges Politzer;48.93163026635062;84.6;638;62;14;48.07370177209855585800
0470049Y;Collège Anatole France;44.40728897267791;89.8;556;0;11;47.72523744615325942400
9760371Z;Collège de Ouangani;-12.841158159262088;77.4;1199;121;11;50.21778731862450316200
0160864C;Collège Claude Boucher;45.69170031539395;83.6;387;54;0;46.05010691844965162400
9760379H;Collège de Boueni;-12.923897407828887;100.1;609;65;0;50.18212794693988807200
0020056A;Collège Marthe Lefèvre;49.83675770982215;73.4;275;68;7;43.66986037302227193800
